"CONTINENT","REGION","WHO_REGION","ADMIN0","ADMIN0ID","ADMIN0_FIP","ADMIN0ISO2","ADMIN0ISO3","ADMIN1","ADMIN1ID","ADMIN2","ADMIN2ID","Alt_ADMIN2","ADMIN3","ADMIN3ID","IUs_ADM","IUs_NAME","IU_ID","IU_CODE","Year","Endemicity","TargetPop","PopReq","PopTrg","PopTreat","Cov","PC","EffPC","PC_n","EffPC_n","EpiCov","EpiPC","EpiEffPC","EpiPC_n","EpiEffPC_n","MDA_scheme","JRF_submitted","Endemicity_ID"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2020","High prevalence (50% and above)","Total","72635","34883","33304","95.469999999999999","1","1","5","5","45.850000000000001","1","0","5","2","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2021","High prevalence (50% and above)","Total","77888","0","0","0.0","0","0","5","5","0.0","0","0","5","2","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Ancuabe","33100",null,null,"0","ADM2","Ancuabe","33100","MOZ0344333100","2022","High prevalence (50% and above)","Total","74746","50729","31802","62.689999999999998","1","0","6","5","42.549999999999997","1","0","6","2","PZQ+ALB/MBD","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2013","Not reported","PreSAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2014","High prevalence (50% and above)","PreSAC","24026","0","0","0.0","0","0","0","0","0.0","0","0","0","0","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2015","Not reported","PreSAC","0","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","0","999"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2016","High prevalence (50% and above)","PreSAC","25287","0","0","0.0","0","0","0","0","0.0","0","0","0","0","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2017","High prevalence (50% and above)","PreSAC","24763","0","0","0.0","0","0","0","0","0.0","0","0","0","0","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2018","High prevalence (50% and above)","PreSAC","21277","0","0","0.0","0","0","0","0","0.0","0","0","0","0","ALB+IVM","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2019","High prevalence (50% and above)","PreSAC","17131","0","0","0.0","0","0","0","0","0.0","0","0","0","0","Not delivered","1","6"
"Africa","Eastern Africa","AFRO","Mozambique","31","MZ","MZ","MOZ","Cabo Delgado","3443","Balama","33101",null,null,"0","ADM2","Balama","33101","MOZ0344333101","2020","High prevalence (50% and above)","PreSAC","26468","0","0","0.0","0","0","0","0","0.0","0","0","0","0","ALB+IVM","1","6"
